source_id,ra,dec,ra_delta,dec_delta,decam_g0,decam_r0,vel_calib,vel_calib_std,feh50,feh_calib_std,pmra,pmdec,pmra_error,pmdec_error,pmra_pmdec_corr,best_sn_1700d,good_star_pb,p_mem,p_mem_lo,p_mem_hi
1258541764098047104,210.441,26.0983,0.794416,-0.451834,16.5214,15.5335,190.828,0.704383,-2.15189,0.0498916,-1.20838,-0.882538,0.037547,0.0342274,-0.0532499,64.4027,0.996382,0.999997,0.999993,0.999999
1260240127310861184,211.232,27.1648,1.49,0.621603,19.521,18.9934,188.414,5.05378,-2.26808,0.381499,-1.42304,-1.04703,0.259124,0.205916,0.0186722,3.50541,0.939948,0.999691,0.999496,0.999813
1450579200830093312,207.422,26.4815,-1.90984,-0.0554782,16.8189,15.7874,189.502,0.793919,-1.43206,0.0872978,-1.04192,-0.841369,0.0450332,0.0306468,-0.143374,30.0627,0.999479,0.984545,0.757754,0.997635
1450593490185773568,208.345,26.2653,-1.08653,-0.282496,16.8764,15.9467,192.288,0.971795,-1.81192,0.104231,-1.19765,-0.887637,0.0488184,0.0380348,0.0429538,16.1491,0.99978,0.999989,0.999973,0.999995
1450596243260368896,208.213,26.3043,-1.20418,-0.24226,17.3325,16.4763,189.359,3.42879,-1.98841,0.618151,-1.11938,-0.884975,0.0596742,0.0452889,0.15471,5.70622,0.99854,0.999982,0.999969,0.99999
1450639119918594560,208.259,26.605,-1.16048,0.0580182,18.7758,18.0517,187.163,5.75188,-2.17604,0.749972,-1.11676,-0.859562,0.140557,0.107364,0.0207092,3.67463,0.948268,0.999897,0.999836,0.999936
1450726977769346176,209.489,26.0856,-0.0610996,-0.467248,18.5161,17.9156,193.777,4.07499,-2.92194,0.415902,-1.22354,-0.902416,0.131314,0.106549,-0.0764791,6.04397,0.97065,0.999991,0.999983,0.999996
1450752026018903168,209.557,26.4448,-1.49227e-05,-0.108075,18.763,18.2013,191.48,3.12429,-2.59085,0.331756,-1.36933,-0.929468,0.162427,0.123549,0.086507,5.22765,0.967887,0.999969,0.999944,0.999983
1450756767662816768,209.526,26.5529,-0.0273836,-3.00632e-05,18.3516,17.8048,195.502,3.35487,-2.65739,0.290954,-1.15924,-1.04725,0.122628,0.0954654,0.212875,6.79734,0.999795,0.999943,0.999889,0.999971
1450757042540728960,209.505,26.5773,-0.0465835,0.0244095,19.3341,18.7867,180.453,7.01369,-2.49043,0.45898,-1.02006,-0.720942,0.218145,0.169379,0.123281,3.35804,0.943672,0.999526,0.999192,0.999728
1450763227293876608,209.76,26.4746,0.182383,-0.0781661,18.8974,18.3164,186.904,3.55005,-2.36589,0.398125,-1.29531,-0.89597,0.166317,0.120044,0.147689,5.85608,0.999176,0.999931,0.999883,0.999959
1450763777049701888,209.792,26.5161,0.210936,-0.0366116,18.8258,18.2283,193.217,3.1178,-2.54284,0.428443,-0.987292,-0.765621,0.166611,0.119854,0.167577,6.42989,0.998759,0.999956,0.999923,0.999976
1450766839361412608,210.083,26.5086,0.47056,-0.0433736,17.6127,17.0083,196.15,1.41837,-2.00592,0.251486,-1.18442,-0.851511,0.0889917,0.0673656,0.0195909,12.8038,0.999149,0.999865,0.999401,0.999954
1450782713560551808,209.667,26.6952,0.0987514,0.142376,16.266,15.1871,192.827,0.720871,-2.40296,0.0393039,-1.1744,-0.897945,0.0342536,0.0252847,0.25439,47.485,0.998694,0.999999,0.999998,1
1450795289224753536,209.337,26.4279,-0.196766,-0.12479,17.1668,16.3514,191.714,1.04883,-2.53339,0.131286,-1.23213,-0.945262,0.0576958,0.0462363,0.197493,23.4991,0.999889,0.999996,0.99999,0.999998
1450820608056155648,209.205,26.7368,-0.3144,0.184373,19.6712,19.1557,182.305,5.80385,-2.39333,0.606122,-1.05661,-0.816518,0.290195,0.222662,0.143156,2.46437,0.723111,0.999417,0.999021,0.999661
1450830267438457344,209.612,26.7595,0.0496529,0.206596,19.3837,18.8354,194.114,6.78618,-2.48179,0.537138,-1.08276,-0.749308,0.223585,0.165328,0.190522,2.83428,0.839807,0.999894,0.999822,0.999938
1450833596037626752,209.397,26.8129,-0.142887,0.260108,18.3928,17.7735,189.15,2.08115,-3.16498,0.386032,-0.996137,-0.820717,0.118841,0.0890917,0.145701,6.71807,0.585567,0.99999,0.999975,0.999996
1451135553713792000,208.827,27.6383,-0.646368,1.08716,18.0995,17.514,191.751,3.69575,-2.88789,0.295514,-1.19657,-0.943319,0.103584,0.0759277,0.189962,4.54059,0.887684,0.999995,0.999989,0.999997
1451865659498945664,207.966,27.4836,-1.41126,0.939385,19.7896,19.2588,183.764,6.3753,-2.16276,0.833465,-0.997772,-0.606563,0.323648,0.217343,-0.0142129,4.09853,0.972267,0.997765,0.996416,0.998639
1452433527190255744,210.709,27.6068,1.02136,1.05848,18.8152,18.4328,183.406,3.22831,-2.54678,0.345191,-1.21631,-0.81433,0.206626,0.148357,0.0876877,7.54484,0.999839,0.999698,0.999307,0.999876
